Quelle;GUID;Kategorie;Typ;Familie;Zusatzinfo;Menge;Einheit;Ebene;Schichtaufbau;Dicke_mm;Fl�che_m2;L�nge_m
ARC_Umbau_TRP-T4;4a569777-c6f1-4580-8cc0-6f70084b0df2-001b3992;Waende;Leichtbauwand;;;1.3590000000000000;m3;;Gypsum Wall Board [Finish 1] (13 mm) | Gypsum Wall Board [Finish 1] (13 mm) | Insulation - PVC Jacketed Fiberglass [Tragend] (100 mm) | Gypsum Wall Board [Finish 1] (13 mm) | Gypsum Wall Board [Finish 1] (13 mm);152;9.0600000000000005;2.1400000000000001
ARC_Umbau_TRP-T4;4a569777-c6f1-4580-8cc0-6f70084b0df2-001b3993;Waende;Generic - 150mm;;;1.2660000000000000;m3;;Unknown Material [Tragend] (150 mm);150;8.4399999999999995;2.0699999999999998
ARC_Umbau_TRP-T4;4a569777-c6f1-4580-8cc0-6f70084b0df2-001b3994;Waende;Leichtbauwand;;;0.45000000000000001;m3;;Gypsum Wall Board [Finish 1] (13 mm) | Gypsum Wall Board [Finish 1] (13 mm) | Insulation - PVC Jacketed Fiberglass [Tragend] (100 mm) | Gypsum Wall Board [Finish 1] (13 mm) | Gypsum Wall Board [Finish 1] (13 mm);152;3.0;0.77000000000000002
ARC_Umbau_TRP-T4;4a569777-c6f1-4580-8cc0-6f70084b0df2-001b3995;Waende;Trennwand;;;0.091999999999999998;m3;;Structure, Wood Joist/Rafter Layer [Tragend] (30 mm);30;3.0800000000000001;1.4500000000000000
ARC_Umbau_TRP-T4;4a569777-c6f1-4580-8cc0-6f70084b0df2-001b399a;Waende;Vorwand;;;0.55300000000000005;m3;;Gypsum Wall Board [Finish 1] (13 mm) | Gypsum Wall Board [Finish 1] (13 mm) | Unbekannt [Tragend] (50 mm);76;7.3700000000000001;2.1400000000000001
ARC_Umbau_TRP-T4;4a569777-c6f1-4580-8cc0-6f70084b0df2-001b39e2;Waende;Generic - 200mm;;;6.6660000000000004;m3;;Unknown Material [Tragend] (200 mm);200;33.329999999999998;9.4700000000000006
ARC_Umbau_TRP-T4;5bfbbe95-c304-4994-8503-eeb77bdd62e9-001b5acf;Waende;Generic - 150mm;;;0.59599999999999997;m3;;Unknown Material [Tragend] (150 mm);150;3.9800000000000000;1.3000000000000000
ARC_Umbau_TRP-T4;88511cf6-bc5e-4c8b-b91c-f5fa21dccc30-001b6e03;Waende;Generic - 200mm;;;0.69499999999999995;m3;;Unknown Material [Tragend] (200 mm);200;3.4800000000000000;0.91000000000000003
ARC_Umbau_TRP-T4;88511cf6-bc5e-4c8b-b91c-f5fa21dccc30-001b70ab;Waende;Trennwand;;;0.075999999999999998;m3;;Structure, Wood Joist/Rafter Layer [Tragend] (30 mm);30;2.5299999999999998;1.25
ARC_Umbau_TRP-T4;88511cf6-bc5e-4c8b-b91c-f5fa21dccc30-001b7294;Waende;Trennwand;;;0.129;m3;;Structure, Wood Joist/Rafter Layer [Tragend] (30 mm);30;4.2999999999999998;2.1600000000000001
ARC_Umbau_TRP-T4;88511cf6-bc5e-4c8b-b91c-f5fa21dccc30-001b73a3;Waende;Trennwand;;;0.129;m3;;Structure, Wood Joist/Rafter Layer [Tragend] (30 mm);30;4.2999999999999998;2.1600000000000001
ARC_Umbau_TRP-T4;9fcbdf87-1433-4a7f-ae7e-10b09425362d-001b7625;Waende;Generic - 150mm;;;0.69399999999999995;m3;;Unknown Material [Tragend] (150 mm);150;4.6299999999999999;1.6399999999999999
ARC_Umbau_TRP-T4;9fcbdf87-1433-4a7f-ae7e-10b09425362d-001b7924;Waende;Generic - 150mm;;;0.77100000000000002;m3;;Unknown Material [Tragend] (150 mm);150;5.1399999999999997;1.7000000000000000
